departmentCode,parentCode,departmentName,leaderCode
134925b2bd791deb9608250447083ec8,,投资研究部,
1412f84c883fa11d48792d84a9ea6f95,,华夏资本,
135613749a540dff8ab04bf4b658fd72,,稽核部,
17b7721b6948855239e084b4f2f9078a,134925b2b2b9c02466aebf94b2f9b1d3,公募混合资产投资部,
134925b2b1b5358dbb6a1264763aaf59,,机构理财部,a0e21a12-863a-4bef-b85d-ee8e5d4f20dd
134925b2bc74217f11036bc4f198d84b,15723e21beb4ee5837d50c045fdabf1b,东中街理财中心,
16a9f3d0e12cc74dc481dcf4480aef4c,,运营服务部,00a63b03-1eb7-409b-83fa-289d00dc8296
16c02cc8e137fe5a03d11d04367bfd1b,,数据中心,
134925b2adda9d739fd3b6b4560b6184,,互联网金融部,
134925b2b5a31fa673852dc402b965aa,15723dba2f61e6edcabcb4b4c5583472,深圳分公司,d937881c-9163-4882-9ead-6d536f7a9ce6
15723e308990f09561bc22144ccba5bb,14f689b6270715487a6ee9b4037b374a,上海地区,
17525a113acb7cedd22c2a941dbbac23,134925b2c06e164fc68def94af8922ee,香港投资部,
134925b2bd791deb9608250447083ec8,,投资研究部,
16eb67533805d2a28635e7446a985292,134925b2b4a7380bbc164914c0baa0e0,运维中心,
134925b2b4ad09891615b3a4198ad9f0,,股票投资部,
134925b2b3a6efff47928b64cddbf01a,,人力资源部,
17346b01136251f787da1914b8798d14,17346b99e07da57921ea96d49028b9ae,网络运营部,d3daae3f-4428-47b3-b09b-493a9529e494
134925b2b5aaadd2523760e4c6db1b13,15723dba2f61e6edcabcb4b4c5583472,上海分公司,d937881c-9163-4882-9ead-6d536f7a9ce6
174053bf23017c051c38a584254aeec6,18676e706e443bdfd1d2ae84dc1945ac,基础设施与不动产投资部,
134925b2b8995f9c916709f46568f5d7,,市场部,
134925b2b8995f9c916709f46568f5d7,,市场部,
134925b2bb7836e4a2c39f34ef897d91,134925b2b69794d10227aeb46848beb7,客服运营业务,
15723e308990f09561bc22144ccba5bb,14f689b6270715487a6ee9b4037b374a,上海地区,
134925b2b69836c974a77f1439e82aee,,养老金管理部,e3f08189-8657-458d-9ad5-f47246b7d4d1
16eee559cd97ddd544374af42aeb39f0,1580a868bff70371a705e6849cab994c,智能投研科技中心,
14830ce9b62ce5b90ddab974c8688fa0,,副总经理,
15723dba2f61e6edcabcb4b4c5583472,,分公司,
134925b2b4ab008433536e945d781918,,办公室╱党务工作部,dd80dacf-4378-4b45-bf65-cda2f73b2cbf
134925b2b2b9c02466aebf94b2f9b1d3,,固定收益部,
134925b2b982fb92b2aa2794d4b85d2e,,数量投资部,
134925b2b79d33db0466c9b44cd8aa23,,风险管理部,
17525a51959252f20cb84384e9fa6add,1752614f01dcbbb932d392a479c823ea,香港私募基金,
134925b2b4a7380bbc164914c0baa0e0,,金融科技部,
18b88a92576628a09154bed4bc1a2084,14f689b6270715487a6ee9b4037b374a,长沙地区,
134925b2b5aaadd2523760e4c6db1b13,15723dba2f61e6edcabcb4b4c5583472,上海分公司,d937881c-9163-4882-9ead-6d536f7a9ce6
134925b2b8995f9c916709f46568f5d7,,市场部,
134925b2c155fa4a752ab9e40c69357b,,机构债券投资部,
134925b2b2b48a412e59e6e41a995325,,财务部,
16add6fcb7dc8dd810e286c4679bf5b6,,纪委办公室,
183d567be13bb4b3f71f84342b5b2a5f,14f689b6270715487a6ee9b4037b374a,太原地区,
134925b2b3acb45603374e546b2b91b8,,法律部,
134925b2b4ab008433536e945d781918,,办公室╱党务工作部,dd80dacf-4378-4b45-bf65-cda2f73b2cbf
174053bf23017c051c38a584254aeec6,18676e706e443bdfd1d2ae84dc1945ac,基础设施与不动产投资部,
174053bf23017c051c38a584254aeec6,18676e706e443bdfd1d2ae84dc1945ac,基础设施与不动产投资部,
134925b2b69836c974a77f1439e82aee,,养老金管理部,e3f08189-8657-458d-9ad5-f47246b7d4d1
134925b2bd791deb9608250447083ec8,,投资研究部,
134925b2b1b5358dbb6a1264763aaf59,,机构理财部,a0e21a12-863a-4bef-b85d-ee8e5d4f20dd
16a9f3d0e12cc74dc481dcf4480aef4c,,运营服务部,00a63b03-1eb7-409b-83fa-289d00dc8296
134925b2b69035e67ae8f2040849ddf1,,基金运作部,
17525a113acb7cedd22c2a941dbbac23,134925b2c06e164fc68def94af8922ee,香港投资部,
134925b2b2b48a412e59e6e41a995325,,财务部,
18dc5709843a51b679259d14599b65bd,18dc56e182641053cf34cb64b8ea2ec1,纪委委员,
134925b2bb7836e4a2c39f34ef897d91,134925b2b69794d10227aeb46848beb7,客服运营业务,
18676e706e443bdfd1d2ae84dc1945ac,,基础设施与不动产业务部,
134925b2b792aef6e88946c4298a323e,,研究发展部,
134925b2ba8548066a298cb450188d69,134925b2b69794d10227aeb46848beb7,客服支持业务,
16a9f3d0e12cc74dc481dcf4480aef4c,,运营服务部,00a63b03-1eb7-409b-83fa-289d00dc8296
187b14932a552d974a2b5484f6693fa8,14f689b6270715487a6ee9b4037b374a,天津地区,
134925b2adda9d739fd3b6b4560b6184,,互联网金融部,
134925b2b5a31fa673852dc402b965aa,15723dba2f61e6edcabcb4b4c5583472,深圳分公司,d937881c-9163-4882-9ead-6d536f7a9ce6
16c02cc8e137fe5a03d11d04367bfd1b,,数据中心,
17525a113acb7cedd22c2a941dbbac23,134925b2c06e164fc68def94af8922ee,香港投资部,
17346a8476bb71408f881584af7b6f47,17346b99e07da57921ea96d49028b9ae,销售管理部,27ff11b8-3682-40c1-ba8b-2ee6dffbd065
134925b2b982fb92b2aa2794d4b85d2e,,数量投资部,
134925b2b2b9c02466aebf94b2f9b1d3,,固定收益部,
18676e706e443bdfd1d2ae84dc1945ac,,基础设施与不动产业务部,
134925b2c15ff16b46a90c9475da941b,,综合管理部,08fc2d06-6806-4674-be8f-08cd7d44e2fe
134925b2bd72a08c18d5b354e90a1e1a,134925b2c15ff16b46a90c9475da941b,前台秘书,08fc2d06-6806-4674-be8f-08cd7d44e2fe
134925b2bd7c6056d9875cc4332bb1c7,134925b2c15ff16b46a90c9475da941b,综合,08fc2d06-6806-4674-be8f-08cd7d44e2fe
18870eea7c5b1a8afa3347a450a8302e,134925b2c15ff16b46a90c9475da941b,后勤保障,08fc2d06-6806-4674-be8f-08cd7d44e2fe
1483e8a1bd8b494422dc4504d9593add,,工会,
134925b2be6f268e1e2a0e6440cb11eb,15723dba2f61e6edcabcb4b4c5583472,杭州分公司,d937881c-9163-4882-9ead-6d536f7a9ce6
15ddf3cf15b6c67b0c8eab04681a421a,134925b2c155fa4a752ab9e40c69357b,非标投资部,
134925b2b5a31fa673852dc402b965aa,15723dba2f61e6edcabcb4b4c5583472,深圳分公司,d937881c-9163-4882-9ead-6d536f7a9ce6
15723e3b6645846042d993540f09e3ca,14f689b6270715487a6ee9b4037b374a,成都地区,
18870eea7c5b1a8afa3347a450a8302e,134925b2c15ff16b46a90c9475da941b,后勤保障,08fc2d06-6806-4674-be8f-08cd7d44e2fe
15723e3b6645846042d993540f09e3ca,14f689b6270715487a6ee9b4037b374a,成都地区,
134925b2b69035e67ae8f2040849ddf1,,基金运作部,
134925b2b3acb45603374e546b2b91b8,,法律部,
134925b2bd791deb9608250447083ec8,,投资研究部,
134925b2b9838248ce5dad5418a8e15e,,机构权益投资部,37e655d6-7366-46de-ab1b-639a53683d10
134925b2b2b48a412e59e6e41a995325,,财务部,
134925b2b2b48a412e59e6e41a995325,,财务部,
134925b2b2b48a412e59e6e41a995325,,财务部,
17346a8476bb71408f881584af7b6f47,17346b99e07da57921ea96d49028b9ae,销售管理部,27ff11b8-3682-40c1-ba8b-2ee6dffbd065
17346a8476bb71408f881584af7b6f47,17346b99e07da57921ea96d49028b9ae,销售管理部,27ff11b8-3682-40c1-ba8b-2ee6dffbd065
134925b2bb762acb304d7f6410dbb289,15723e21beb4ee5837d50c045fdabf1b,金融街理财中心,
1763c907772eb4d659dd851455497483,134925b2b8995f9c916709f46568f5d7,数字营销中心,
